id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
3.041074711152391e+18,0,14102305,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,3d46ea9c,2203a096,1,0,22102,320,50,2545,0,35,100084,221
1.8296355498700337e+19,1,14102813,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,aa852e1c,d787e91b,1,0,22259,320,50,2545,0,167,-1,221
4.77409769823873e+18,0,14102720,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,0934d2f9,f39b265e,1,0,15705,320,50,1722,0,35,-1,79
2.3403524545599334e+18,0,14102213,1005,0,85f751fd,c4e18dd6,50e219e0,e96773f0,2347f47a,0f2161f8,a99f214a,9691bbda,d787e91b,1,0,21767,320,50,2506,0,35,-1,157
2.5357052265685968e+17,0,14102911,1005,1,4407d527,c1e9c6cf,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,0bdd8289,8a4875bd,1,0,23562,320,50,2691,0,419,-1,212
3.747399442158678e+18,0,14102814,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4982c75d,d7e797a3,1,0,17037,320,50,1934,2,39,-1,16
9.209779196195305e+18,1,14103012,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,288e856e,1f0bc64f,1,0,23160,320,50,2667,0,47,-1,221
2.4790622585188547e+18,0,14102704,1005,0,d8c5ea8e,5449fde7,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,04c4c0a0,a0f5f879,1,0,8330,320,50,761,3,175,-1,23
1.7248796082236086e+19,1,14102206,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,11fd64f0,d787e91b,1,0,15702,320,50,1722,0,35,100084,79
3.757162643950522e+18,1,14102103,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,f230c29f,6f21a189,1,0,15705,320,50,1722,0,35,100083,79
1.5811442681397064e+18,0,14102323,1005,0,85f751fd,c4e18dd6,50e219e0,2489e1a5,2347f47a,cef3e649,16c00244,4221a468,aa878c01,1,3,22186,300,250,2555,2,167,-1,23
1.3858399938616252e+19,1,14102121,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,3ec59255,07c99d84,1,0,21760,320,50,2502,0,35,100083,221
5.434363451331111e+18,0,14102522,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,52a1dbd9,d8cfb063,1,0,20633,320,50,2374,3,39,-1,23
1.2812543273793522e+19,0,14102807,1005,0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,14fcaf13,adcb08ec,fa61e8fe,1,0,22554,320,50,1863,3,39,-1,23
8.25001222469623e+18,0,14102620,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,231a0623,629a0986,1,0,15699,320,50,1722,0,35,-1,79
1.5862859074439221e+19,0,14102707,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,938c3055,0bcabeaf,1,3,21189,320,50,2424,1,161,100189,71
1.2634373121407517e+19,1,14102919,1005,0,4b0f0061,7195bdd6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,974aae70,fa340a73,1,0,19772,320,50,2227,0,935,100074,48
8.613977845127204e+17,0,14102112,1002,0,5b787406,f3ca2e42,50e219e0,ecad2386,7801e8d9,07d7df22,515fa100,327a41ed,f368ec80,0,0,21704,320,50,2497,3,43,100151,42
9.581286903856325e+18,0,14102509,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,8881f758,8a4875bd,1,0,20006,320,50,2283,0,163,100076,95
1.7550412846296003e+19,0,14103022,1005,1,85f751fd,c4e18dd6,50e219e0,1dc72b4d,2347f47a,0f2161f8,fa86943f,636ebeab,61ca3ec0,1,0,23699,300,50,2714,3,47,-1,23
1.3467094063102171e+19,0,14102915,1005,1,ce3307ec,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,6394f6f6,03683bd4,1,0,23626,320,50,2707,3,937,100156,61
1.3075451333353146e+19,0,14102805,1005,1,0a742914,510bd839,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d0a8a201,76dc4769,1,0,22681,320,50,2528,0,39,100079,221
1.5123829377761202e+19,0,14102402,1005,0,85f751fd,c4e18dd6,50e219e0,f9047290,2347f47a,0f2161f8,a99f214a,ff24ef1d,05e70df4,1,0,21734,300,250,2502,0,39,-1,221
6.190742327672656e+18,0,14102905,1005,1,ce3307ec,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,af9205f9,03683bd4,1,0,22268,320,50,2566,3,815,100156,42
2.8505559961048755e+18,0,14102303,1005,0,2328ee8e,7804dea6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d3815e96,4557228f,1,0,21921,320,50,2528,0,35,100077,221
6.707488692953228e+18,0,14102212,1005,0,85f751fd,c4e18dd6,50e219e0,e9739828,df32afa9,cef3e649,a99f214a,133e8184,a79f14dc,1,0,21767,320,50,2506,0,35,100020,157
1.1109573383165852e+19,0,14102310,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,af17c9d1,56e6ab1d,1,0,21682,320,50,2496,3,167,100173,23
8.977295240525716e+18,1,14102703,1005,0,ff361da0,6dbd48f0,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,7c0e84a8,1ccc7835,1,0,20632,320,50,2374,3,39,-1,23
1.8058673852082338e+19,0,14102911,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,872c604c,e1eae715,1,3,21191,320,50,2424,1,175,100193,71
1.0407894729738959e+19,0,14103014,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,3226e85e,95a0fb49,1,0,23726,320,50,2717,2,47,-1,23
1.7445556655430822e+19,0,14103003,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6691716e,8a4875bd,1,0,15708,320,50,1722,0,35,100084,79
1.737112488294663e+19,0,14102113,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,b7724cee,44801bc1,1,0,20128,320,50,2303,2,39,-1,23
1.1232363926247948e+19,0,14103014,1005,1,b8eae5f9,1e334bd3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e2ebc694,76dc4769,1,0,8330,320,50,761,3,175,100077,23
1.2112888027344712e+19,1,14103004,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,17706653,5db079b5,1,2,23804,320,50,2726,3,803,-1,229
1.3050907955683588e+19,0,14102201,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,07043514,00097428,1,0,20510,216,36,2351,3,163,100020,61
1.5651850070882234e+19,0,14102614,1005,0,6256f5b4,28f93029,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b53658c2,aad45b01,1,0,20153,320,50,2307,3,163,-1,61
1.4079866133237772e+19,0,14103005,1005,0,85f751fd,c4e18dd6,50e219e0,c105f675,2347f47a,0f2161f8,a99f214a,6638bd2f,a9fb0439,1,0,23804,320,50,2726,3,803,-1,229
5.671925280548597e+18,0,14103014,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,3ecf5392,1c6a881d,1,2,24034,320,50,2754,0,35,100170,246
1.0773493073977522e+19,0,14103016,1005,0,85f751fd,c4e18dd6,50e219e0,d36838b1,0e8616ad,0f2161f8,a99f214a,990d2b99,4567d2e5,1,2,24034,320,50,2754,0,35,-1,246
1.818597010943923e+19,0,14102813,1005,1,9aef3962,d47b862d,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,f7007535,b9b66aec,1,0,19772,320,50,2227,0,935,100077,48
1.1127437935194798e+18,0,14102620,1005,0,14c5faa4,30518255,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c492e4ae,5a6166c4,1,0,17239,320,50,1973,3,39,-1,23
7.788699293687383e+18,0,14102916,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6acea9c3,711ee120,1,0,23762,320,50,2724,0,35,100084,253
7.671320394122516e+18,0,14102418,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,665810f3,d787e91b,1,0,15699,320,50,1722,0,35,100083,79
1.1115113122570711e+19,0,14102400,1005,0,d9750ee7,98572c79,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,43a9dc55,1aa0e912,1,0,21757,320,50,2502,0,39,-1,221
1.2939819445952877e+19,0,14102212,1002,0,089cd95b,a41b5d8b,50e219e0,ecad2386,7801e8d9,07d7df22,b6046115,79d86f42,072c9f1e,0,0,21589,320,50,2478,3,167,100077,23
1.7829256316736193e+19,0,14102712,1005,0,85f751fd,c4e18dd6,50e219e0,ce183bbd,ae637522,cef3e649,a99f214a,d35b481d,36b67a2a,1,0,22514,320,50,2597,1,167,100004,71
9.981530937166995e+18,0,14102109,1005,0,85f751fd,c4e18dd6,50e219e0,66f5e02e,6f7ca2ba,0f2161f8,a99f214a,601ba554,be74e6fe,1,0,21715,320,50,2500,2,34,-1,90
1.2522356064042633e+19,0,14102211,1005,0,023f3644,de0f0f82,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5dac647d,8a4875bd,1,0,21768,320,50,2506,0,35,-1,157
